"PREFIX","Category","CCD","PseudoPrefix","Comments"
"TOTAL","TOTAL","TOTAL",,
"DEM|SEX","Gender","DEM|SEX:f",,
"DEM|SEX","Gender","DEM|SEX:m",,
"DEM|MARITAL","Marital Status","DEM|MARITAL:single",,
"DEM|MARITAL","Marital Status","DEM|MARITAL:married",,
"DEM|MARITAL","Marital Status","DEM|MARITAL:divorced",,
"DEM|MARITAL","Marital Status","DEM|MARITAL:widowed",,
"DEM|MARITAL","Marital Status","DEM|MARITAL:legally sepa",,
"DEM|ETHNICITY","Ethnicity","DEM|ETHNICITY:non-hispanic",,
"DEM|ETHNICITY","Ethnicity","DEM|ETHNICITY:hispanic",,
"DEM|LANGUAGE","Language","DEM|LANGUAGE:english",,
"DEM|LANGUAGE","Language","DEM|LANGUAGE:spanish",,
"DEM|RACE","Race","DEM|RACE:white",,
"DEM|RACE","Race","DEM|RACE:more than on",,
"DEM|RACE","Race","DEM|RACE:black",,
"DEM|RACE","Race","DEM|RACE:asian",,
"DEM|RACE","Race","DEM|RACE:unknown/othe",,
"DEM|VITAL","Vital Status","DEM|VITAL:y",,
"KUMC|TOBACCO_USER","Tobacco","KUMC|TOBACCO_USER:1",,
"KUMC|TOBACCO_USER","Tobacco","KUMC|TOBACCO_USER:4",,
"KUMC|TOBACCO_USER","Tobacco","KUMC|TOBACCO_USER:2",,
"KUMC|TOBACCO_USER","Tobacco","KUMC|TOBACCO_USER:3",,
"DischStat","Discharge Status","DischStat:HO",,
"DischStat","Discharge Status","DischStat:SH",,
"DischStat","Discharge Status","DischStat:AMA",,
"DischStat","Discharge Status","DischStat:HS",,
"DischStat","Discharge Status","DischStat:AW",,
"DischStat","Discharge Status","DischStat:IP",,
"DischStat","Discharge Status","DischStat:SN",,
"DischStat","Discharge Status","DischStat:Rehab",,
"DischStat","Discharge Status","DischStat:UN",,
"DEM|AGEATV","Age at Visit",,,
"ICD10","Diagnoses (ICD10)",,,
"ICD9","Diagnoses (ICD9)",,,
"KUMC|FAMILYHISTORYDIAG","Family History",,,
"CPT","Procedures (CPT)",,,
"RXCUI","Medication Classes",,,
"CUSTOM=substr(CCD,1,7) %%in%% c('L_LOINC','H_LOINC')","Abnormal Labs",,"Work in progress","When a PREFIX starts with CUSTOM=, then that string gets replaced with & and used as the other argument to chifilter"
"LOINC","All Labs",,,
"UTHSCSA|ENC_TYPE","Encounter Type",,,
